epochs,train_losses,val_losses,test_losses
1,0.2,0.2,0.2
2,0.17882093062903406,0.10429111531186327,0.10542812213605764
3,0.07998627888927892,0.07051467348205478,0.06910313209708856
4,0.0706806888806003,0.07092758907231154,0.06984205331121172
5,0.070832566638303,0.07126586113784865,0.07034948224924048
6,0.07044110500819453,0.06999233816868378,0.06866001900361508
7,0.07040990324005156,0.0696553401013567,0.0684361637246852
8,0.07023661699617643,0.07031162370815244,0.06914735631066926
9,0.070068865573157,0.06999536140596356,0.06874827766905026
10,0.0700182426162713,0.07206925687542111,0.07112668089720668
11,0.06991904272192724,0.06957627285349678,0.06828913457539616
12,0.06984984864341258,0.0690998887400032,0.06776332733582477
13,0.06965705322298577,0.0713779553450334,0.07056266799265025
14,0.06950810047149936,0.069412635232812,0.0681437150556214
15,0.06943915132757679,0.07178335495396472,0.07064579700937076
16,0.06958852562097169,0.07418804512285415,0.07316911098908405
17,0.06880430372715274,0.06859576369555738,0.06751601854149177
18,0.06804167853103697,0.07403996517911741,0.07348788879355606
19,0.06451673385158233,0.07836081189970907,0.07741953432559967
20,0.059959627424002244,0.05948793042433921,0.05838285295330748
21,0.05177022492930587,0.050099099060574276,0.04907500865508099
22,0.046439141796579486,0.05117679482230003,0.04968352752680681
23,0.04368997312017849,0.04688900820323008,0.04587225600772975
24,0.04202158219515239,0.04360941496644886,0.042947206418124995
25,0.04045604803230566,0.04096059192600916,0.039675245327608924
26,0.03959474284699431,0.04113513849843124,0.03987319721859329
27,0.038681553440919184,0.04139773005335483,0.04027846501189835
28,0.03728267454415664,0.03726039608566647,0.03596431168974662
29,0.036555809967228486,0.04127537605581188,0.04106580222747764
30,0.036041731315553535,0.03730340827201212,0.03620623690741403
31,0.03577346796046566,0.0474834273387119,0.04793620033531773
32,0.03503261021966857,0.035662296987807526,0.035015806555747986
33,0.034724413186882845,0.034424972290934205,0.03353515343398464
34,0.03355536264400934,0.03602510431290585,0.0350211568328799
35,0.03359968408414365,0.04053570713777206,0.039531106547433505
36,0.032582704477557324,0.03254875816759949,0.03165633353043576
37,0.03231588108346091,0.03442143246106282,0.033270731264231156
38,0.031291942749254655,0.032407956128673046,0.030629724264144897
39,0.030289048956367474,0.03327014475524017,0.032506080762464175
40,0.029809367296726168,0.032327260656370496,0.03125073791158443
41,0.029589583186495457,0.029396776375389736,0.02900992729225937
42,0.02909086013383705,0.030521696879117658,0.029933278049741472
43,0.027980197740244947,0.030527056641276896,0.03003135293113942
44,0.02799356571300243,0.0282028830072326,0.027817550362372885
45,0.027702103229401833,0.028620989608095723,0.028093449011140942
46,0.027947756969104936,0.027296766983195202,0.026346205600670407
47,0.027339213836016556,0.030124493426689783,0.02935833590371268
48,0.027411319350047116,0.025945268482297643,0.025440040899782766
49,0.026697857309734226,0.028268194114992765,0.027749767412944715
50,0.026275914889283297,0.033321042504014915,0.03304782479393239
51,0.025910551448836142,0.024939870750734953,0.02442163943636174
52,0.025547027648464452,0.02553270924667147,0.02484975223030363
53,0.02528830872725319,0.02587870314002284,0.025410311410621722
54,0.024858434804640582,0.02590043286701034,0.0253146871620295
55,0.024638011253305843,0.025540483372264285,0.024782221232141768
56,0.024373611906904652,0.024820098956007907,0.023878987498429358
57,0.024341724259166628,0.02404828712394054,0.023299728577234308
58,0.023931880062932752,0.025444369176995066,0.025123012309171716
59,0.02373350806248728,0.02485396853288395,0.024275236896106174
60,0.02340392717327944,0.022797725768099176,0.02228377919111933
61,0.023838641044102896,0.025833022550743732,0.025283670851162503
62,0.023377558279189775,0.02305485091292267,0.022647638254019678
63,0.022919659858675508,0.022503948698160886,0.02207957976022545
64,0.02294036211028401,0.023989493626832163,0.023455582255003403
65,0.02258768058127781,0.02264867238635065,0.022525270830611795
66,0.02204193011938695,0.024899599788938815,0.02458194567232716
67,0.023234484678309554,0.022915779793640654,0.022562489673799396
68,0.02178926277001422,0.022215620174982628,0.021475110583159387
69,0.022011715730567843,0.02332709117994608,0.022895433312776138
