epochs,train_losses,val_losses,test_losses
1,0.21444891587555379,0.1459686433453699,0.14526463763846703
2,0.10979698729865692,0.08028094977183185,0.0801892831433307
3,0.07855859328469325,0.07499478138103148,0.0753110293936028
4,0.07488012262087784,0.07351118568482438,0.07397798703806562
5,0.07365585743778776,0.07370105717867427,0.07422609039540212
6,0.07300895243341532,0.07322051820431184,0.07366194926902626
7,0.07291675232696454,0.07239751346028062,0.07295098860165172
8,0.07264072395280352,0.072666558393846,0.07323744923724594
9,0.07267424071832088,0.07207828272705954,0.07274355291892569
10,0.07270230036603027,0.07237189400999926,0.07290325105489655
